Title,Print ISSN,e-ISSN
Bulletin of the American Mathematical Society,0002-9904,1936-881X
Bulletin of the American Meteorological Society,0003-0007,1520-0477
Bulletin of the American Museum of Natural History,0003-0090,
Bulletin of the American Schools of Oriental Research,0003-097X,
Bulletin of the American Society for Information Science and Technology,0095-4403,1550-8366
Bulletin of the Association of American Medical Colleges,0004-5616,
Bulletin of the Atomic Scientists,0096-3402,1938-3282
Bulletin of the Biological Society of Washington,0097-0298,
Bulletin of the Carnegie Museum of Natural History,0415-9058,0145-9058
Bulletin of the Center for Childrens Books,0008-9036,1558-6766
Bulletin of the Council for British Research in the Levant,1752-7260,1752-7279
Bulletin of the Council for Research in Music Education,0010-9894,
Bulletin of the Crimean Astrophysical Observatory,0190-2717,1934-7863
Bulletin of the Ecological Society of America,0012-9623,
Bulletin of the Entomological Society of America,0013-8754,
Bulletin of the History of Medicine,0007-5140,1086-3176
Bulletin of the Institute of Classical Studies,0076-0730,2041-5370
Bulletin of the International Association of Scientific Hydrology,0020-6024,
Bulletin of the Lebedev Physics Institute,1068-3356,1934-838X
Bulletin of the London Mathematical Society,0024-6093,1469-2120
Bulletin of the Menninger Clinic: A Journal for the Mental Health Professions,0025-9284,1943-2828
Bulletin of the Museum of Comparative Zoology,0027-4100,
Bulletin of the National Association of Student Anthropologists,1556-3618,1556-3626
Bulletin of the Peabody Museum of Natural History,0079-032X,
Bulletin of the Russian Academy of Sciences: Physics,1062-8738,1934-9432
Bulletin of the Seismological Society of America,0037-1106,1943-3573
Bulletin of the Southern California Academy of Sciences,0038-3872,
Bulletin of Volcanology,0258-8900,1432-0819
Burns,0305-4179,
Business & Society,0007-6503,1552-4205
Business and Politics,,1469-3569
Business and Professional Ethics Journal,0277-2027,2153-7828
Business and Society Review,0045-3609,1467-8594
Business Change and Re-engineering,0969-3866,1099-0828
Business Communication Quarterly,1080-5699,1552-4191
Business Economics,0007-666X,1554-432X
Business Ethics Quarterly,1052-150X,2153-3326
Business Ethics: A European Review,0962-8770,1467-8608
Business Ethics: The Magazine of Corporate Responsibility,0894-6582,2155-2398
Business History,0007-6791,1743-7938
Business Horizons,0007-6813,
Business Information Review,0266-3821,1741-6450
Business Process Management Journal,1463-7154,
Business Strategy and the Environment,0964-4733,1099-0836
Business Strategy Review,0955-6419,1467-8616
Business Strategy Series,1751-5637,
Bustan: The Middle East Book Review,1878-5301,1878-5328
Byzantine & Modern Greek Studies,0307-0131,1749-625X
Byzantinische Zeitschrift,0007-7704,1864-449X
C I R P Annals-Manufacturing Technology,0007-8506,1726-0604
caa.reviews,,1543-950X
Cactus and Succulent Journal,0007-9367,
Cahiers de Linguistique Asie Orientale / Oriental Languages and Linguistics,0153-3320,1960-6028
Cahiers du Centre dÉtudes Phénoménologiques,0771-3592,2153-3113
Calabria Antica,,
Calcified Tissue International,0171-967X,1432-0827
Calculus of Variations and Partial Differential Equations,0944-2669,1432-0835
California Archaeology,1947-461X,1947-4628
California Journal of Politics and Policy,,1944-4370
California Management Review,0008-1256,2162-8564
Callaloo,0161-2492,1080-6512
Calphad,0364-5916,
Cambridge Journal of Economics,0309-166X,1464-3545
Cambridge Journal of Education,0305-764X,1469-3577
"Cambridge Journal of Regions, Economy and Society",1752-1378,1752-1386
Cambridge Opera Journal,0954-5867,1474-0621
Cambridge Quarterly,0008-199X,1471-6836
Cambridge Quarterly of Healthcare Ethics,0963-1801,1469-2147
Cambridge Review of International Affairs,0955-7571,1474-449X
Camera Obscura,0270-5346,1529-1510
Campus-Wide Information Systems,1065-0741,
Canadian Association of Radiologists Journal,0846-5371,1488-2361
Canadian Conference on Electrical and Computer Engineering,0840-7789,
Canadian Foreign Policy,1192-6422,2157-0817
Canadian Geographer/Le Géographe Canadien,0008-3658,1541-0064
Canadian Geotechnical Journal,0008-3674,1208-6010
Canadian Journal of Administrative Sciences,0825-0383,1936-4490
Canadian Journal of African Studies/La Revue canadienne des études africaines,0008-3968,1923-3051
Canadian Journal of Agricultural Economics/Revue Canadienne d'Agroéconomie,0008-3976,1744-7976
Canadian Journal of Anesthesia/Journal canadien d' anesthésie,0832-610X,1496-8975
Canadian Journal of Behavioural Science,0008-400X,1879-2669
Canadian Journal of Botany,0008-4026,1480-3305
Canadian Journal of Chemistry,0008-4042,1480-3291
Canadian Journal of Civil Engineering,0315-1468,1208-6029
Canadian Journal of Development Studies/Revue canadienne d'études du développement,0225-5189,2158-9100
Canadian Journal of Earth Sciences,0008-4077,1480-3313
Canadian Journal of Economics/Revue Canadienne d'Économique,0008-4085,1540-5982
Canadian Journal of Electrical and Computer Engineering,0840-8688,
Canadian Journal of Experimental Psychology,1196-1961,1878-7290
Canadian Journal of Fisheries and Aquatic Sciences,0706-652X,1205-7533
Canadian Journal of Forest Research,0045-5067,1208-6037
Canadian Journal of Microbiology,0008-4166,1480-3275
Canadian Journal of Occupational Therapists,0008-4174,1911-9828
Canadian Journal of Philosophy,0045-5091,1911-0820
Canadian Journal of Physics,0008-4204,1208-6045
Canadian Journal of Physiology and Pharmacology,0008-4212,1205-7541
Canadian Journal of Plant Pathology,0706-0661,1715-2992
Canadian Journal of Psychology/Revue Canadienne de Psychologie,0008-4255,
Canadian Journal of School Psychology,0829-5735,
"Canadian Journal of Science, Mathematics and Technology Education",1492-6156,1942-4051
Canadian Journal of Zoology,0008-4301,1480-3283
Canadian Metallurgical Quarterly (Elsevier),0008-4433,
Canadian Metallurgical Quarterly (Maney),0008-4433,1879-1395
Canadian Pharmacists Journal,1715-1635,1913-701X
Canadian Psychological Review/Psychologie Canadienne,0318-2096,
Canadian Psychologist,0008-4832,
Canadian Psychology,0708-5591,1878-7304
Canadian Public Administration,0008-4840,1754-7121
Canadian Review of Sociology/Revue Canadienne de Sociologie,1755-6171,1755-618X
Canadian-American Slavic Studies,0090-8290,2210-2396
Canberra Anthropology,0314-9099,
Cancer,0008-543X,1097-0142
Cancer and Metastasis Reviews,0167-7659,1573-7233
Cancer Biotherapy & Radiopharmaceuticals,1084-9785,1557-8852
Cancer Causes & Control,0957-5243,1573-7225
Cancer Cell,1535-6108,
Cancer Cell International,,1475-2867
Cancer Chemotherapy and Pharmacology,0344-5704,1432-0843
Cancer Clinical Trials,0190-1206,
Cancer Detection and Prevention,0361-090X,
Cancer Epidemiology,1877-7821,1877-783X
Cancer Gene Therapy,0929-1903,1476-5500
Cancer Genetics and Cytogenetics,0165-4608,
Cancer Immunology Immunotherapy,0340-7004,1432-0851
Cancer Investigation (Informa),0735-7907,1532-4192
Cancer Investigation (T&F),0735-7907,1532-4192
Cancer Journal,1528-9117,1540-336X
Cancer Letters,0304-3835,
Cancer Microenvironment,1875-2292,1875-2284
Cancer Nanotechnology,1868-6958,1868-6966
Cancer Nursing,0162-220X,
Cancer Radiothérapie,1278-3218,
Cancer Science,1347-9032,1349-7006
Cancer Treatment Reviews,0305-7372,
Capital & Class,0309-8168,2041-0980
Capital Markets Law Journal,1750-7219,1750-7227
Capitalism and Society,,1932-0213
Capitalism Nature Socialism,1045-5752,1548-3290
Carbohydrate Polymers,0144-8617,
Carbohydrate Research,0008-6215,
Carbon,0008-6223,
Carbon Balance and Management,,1750-0680
Carbonates and Evaporites,0891-2556,1878-5212
Carcinogenesis,0143-3334,1460-2180
Card Technology Today,0965-2590,
Cardiac Cath Lab Director,2150-1335,2150-0134
Cardiac Electrophysiology Clinics,1877-9182,
Cardiology,0008-6312,1421-9751
Cardiology in Review,1061-5377,
Cardiology in the Young,1047-9511,1467-1107
Cardiology Research and Practice,2090-8016,2090-0597
Cardiorenal Medicine,1664-3828,1664-5502
Cardiovascular and Interventional Radiology,0174-1551,1432-086X
Cardiovascular Diabetology,,1475-2840
Cardiovascular Drugs and Therapy,0920-3206,1573-7241
Cardiovascular Engineering,1567-8822,1573-6806
Cardiovascular Intervention and Therapeutics,1868-4300,1868-4297
Cardiovascular Pathology,1054-8807,
Cardiovascular Psychiatry and Neurology,2090-0163,2090-0171
Cardiovascular Radiation Medicine,1522-1865,
Cardiovascular Research (Elsevier),0008-6363,1755-3245
Cardiovascular Research (OUP),0008-6363,1755-3245
Cardiovascular Revascularization Medicine,1553-8389,
Cardiovascular Surgery,0967-2109,
Cardiovascular Therapeutics,1755-5914,1755-5922
Cardiovascular Toxicology,1530-7905,1559-0259
Cardiovascular Ultrasound,,1476-7120
Cardozo Studies in Law and Literature,1043-1500,
Career Development for Exceptional Individuals,0885-7288,1557-5047
Career Development International,1362-0436,
Caries Research,0008-6568,1421-976X
Carnegie-Rochester Conference Series on Public Policy,0167-2231,
Carte di Viaggio,1974-0557,1974-4889
Cartilage,1947-6035,1947-6043
Case Manager,1061-9259,
Case Reports in Anesthesiology,2090-6382,EISSN
Case Reports in Cardiology,2090-6404,2090-6412
Case Reports in Critical Care,2090-6420,2090-6439
Case Reports in Dentistry,2090-6447,2090-6455
Case Reports in Dermatological Medicine,2090-6463,EISSN
Case Reports in Dermatology,,1662-6567
Case Reports in Emergency Medicine,2090-648X,EISSN
Case Reports in Endocrinology,2090-6501,2090-651X
Case Reports in Gastroenterology,,1662-0631
Case Reports in Gastrointestinal Medicine,2090-6528,2090-6536
Case Reports in Genetics,2090-6544,2090-6552
Case Reports in Hematology,2090-6560,2090-6579
Case Reports in Hepatology,2090-6587,2090-6595
Case Reports in Immunology,2090-6609,2090-6617
Case Reports in Infectious Diseases,2090-6625,2090-6633
Case Reports in Medicine,1687-9627,1687-9635
Case Reports in Nephrology,2090-6641,2090-665X
Case Reports in Nephrology and Urology,,1664-5510
Case Reports in Neurological Medicine,2090-6668,2090-6676
Case Reports in Neurology,,1662-680X
Case Reports in Obstetrics and Gynecology,2090-6684,2090-6692
Case Reports in Oncological Medicine,2090-6706,2090-6714
Case Reports in Oncology,,1662-6575
Case Reports in Ophthalmological Medicine,2090-6722,EISSN
Case Reports in Ophthalmology,,1663-2699
Case Reports in Orthopedics,2090-6749,EISSN
Case Reports in Otolaryngology,2090-6765,EISSN
Case Reports in Pathology,2090-6781,2090-679X
Case Reports in Pediatrics,2090-6803,EISSN
Case Reports in Psychiatry,2090-682X,2090-6838
Case Reports in Pulmonology,2090-6846,EISSN
Case Reports in Radiology,2090-6862,2090-6870
Case Reports in Rheumatology,2090-6889,EISSN
Case Reports in Surgery,2090-6900,2090-6919
Case Reports in Transplantation,2090-6943,2090-6951
Case Reports in Urology,2090-696X,2090-6978
Case Reports in Vascular Medicine,2090-6986,EISSN
Case Reports in Veterinary Medicine,2090-7001,2090-701X
Cases Journal,,1757-1626
Castanea,0008-7475,
Cataloging & Classification Quarterly,0163-9374,1544-4554
Cataloging & Classification Quarterly,0163-9374,1544-4554
Catalysis Communications,1566-7367,
Catalysis in Industry,2070-0504,2070-0555
Catalysis Letters,1011-372X,1572-879X
Catalysis Reviews,0161-4940,1520-5703
Catalysis Surveys from Asia,1571-1013,1574-9266
Catalysis Today,0920-5861,
Catena,0341-8162,
Catheterization and Cardiovascular Diagnosis,0098-6569,1097-0304
Catheterization and Cardiovascular Interventions,1522-1946,1522-726X
CBE-Life Sciences Education,,1931-7913
CCQ. Critical Care Quarterly,0160-2551,
Celebrity Studies,1939-2397,1939-2400
Celestial Mechanics and Dynamical Astronomy,0923-2958,1572-9478
Cell,0092-8674,
Cell & Bioscience,,2045-3701
Cell and Tissue Banking,1389-9333,1573-6814
Cell and Tissue Biology,1990-519X,1990-5203
Cell and Tissue Research,0302-766X,1432-0878
Cell Biochemistry and Biophysics,1085-9195,1559-0283
Cell Biochemistry and Function,0263-6484,1099-0844
Cell Biology and Toxicology,0742-2091,1573-6822
Cell Biology Education,,1536-7509
Cell Biology International,1065-6995,
Cell Biology International Reports,0309-1651,
Cell Calcium,0143-4160,
Cell Communication and Adhesion (Informa),1541-9061,1543-5180
Cell Communication and Adhesion (T&F),1541-9061,1543-5180
Cell Communication and Signaling,,1478-811X
Cell Death & Differentiation,1350-9047,1476-5403
Cell Differentiation,0045-6039,
Cell Differentiation and Development,0922-3371,
Cell Division,,1747-1028
Cell Host & Microbe,1931-3128,
Cell Metabolism,1550-4131,
Cell Motility and the Cytoskeleton,0886-1544,1097-0169
Cell Preservation Technology,1538-344X,1557-8119
Cell Proliferation,0960-7722,1365-2184
Cell Stem Cell,1934-5909,
Cell Stress & Chaperones (BioOne),1355-8145,1466-1268
Cell Stress & Chaperones (Elsevier),1355-8145,1466-1268
Cell Transplantation,0963-6897,
Cell Vision,1073-1180,
Cells Tissues Organs,1422-6405,1422-6421
Cellular & Molecular Biology Letters,1425-8153,1689-1392
Cellular and Molecular Life Sciences,1420-682X,1420-9071
Cellular and Molecular Neurobiology,0272-4340,1573-6830
Cellular Immunology,0008-8749,
Cellular Microbiology,1462-5814,1462-5822
Cellular Oncology,2211-3428,2211-3436
Cellular Physiology and Biochemistry,1015-8987,1421-9778
Cellular Reprogramming,2152-4971,2152-4998
Cellular Signalling,0898-6568,
Cellulose,0969-0239,1572-882X
Cement and Concrete Composites,0958-9465,
Cement and Concrete Research,0008-8846,
"Cement Industry Technical Conference, IEEE",1079-9931,
Centaurus,0008-8994,1600-0498
Central Asian Survey,0263-4937,1465-3354
Central Europe,1479-0963,1745-8218
Central European Geology,1788-2281,1789-3348
Central European History,0008-9389,1569-1616
Central European Journal of Biology,1895-104X,1644-3632
Central European Journal of Chemistry,1895-1066,1644-3624
Central European Journal of Computer Science,1896-1533,2081-9935
Central European Journal of Engineering,1896-1541,2081-9927
Central European Journal of Geosciences,2081-9900,1896-1517
Central European Journal of Mathematics,1895-1074,1644-3616
Central European Journal of Medicine,1895-1058,1644-3640
Central European Journal of Operations Research,1435-246X,1613-9178
Central European Journal of Physics,1895-1082,1644-3608
Central European Neurosurgery,1868-4904,1868-4912
Central Issues in Anthropology,0739-7917,
Cephalalgia (Sage),0333-1024,1468-2982
Cephalalgia (Wiley),0333-1024,1468-2982
Cephalalgia: An International Journal of Headache - Supplement,0800-1952,
Ceramics International,0272-8842,
Ceramurgia International,0390-5519,
Cereal Research Communications,0133-3720,1788-9170
Cerebellum (Springer),1473-4222,1473-4230
Cerebral Cortex,1047-3211,1460-2199
Cerebrospinal Fluid Research,,1743-8454
Cerebrovascular Diseases,1015-9770,1421-9786
Cerebrovascular Diseases EXTRA,,1664-5456
CESIFO Economic Studies,1610-241X,1612-7501
Challenge,0577-5132,1558-1489
CHANCE,0933-2480,1867-2280
Change: The Magazine of Higher Learning,0009-1383,1939-9146
Changes: An International Journal of Psychology and Psychotherapy,0263-8371,
Chaos,1054-1500,1089-7682
"Chaos, Solitons & Fractals",0960-0779,
Chelonian Conservation and Biology,1071-8443,
ChemBioChem,1439-4227,1439-7633
Chemical & Engineering News,0009-2347,1520-605X
Chemical and Petroleum Engineering,0009-2355,1573-8329
Chemical Biology & Drug Design,1747-0277,1747-0285
Chemical Communications,1359-7345,1364-548X
Chemical Communications (London),0577-6058,
Chemical Engineering & Technology,0930-7516,1521-4125
Chemical Engineering and Processing,0255-2701,
Chemical Engineering Communications,0098-6445,1563-5201
Chemical Engineering Journal,1385-8947,
Chemical Engineering Journal,0300-9467,
Chemical Engineering Journal and Biochemical Engineering Journal,0923-0467,
Chemical Engineering Research & Design,0263-8762,
Chemical Engineering Science,0009-2509,
Chemical Geology,0009-2541,
Chemical Geology: Isotope Geoscience Section,0168-9622,
Chemical Health and Safety,1074-9098,
Chemical Papers,0366-6352,1336-9075
Chemical Physics,0301-0104,
Chemical Physics Letters,0009-2614,
Chemical Product and Process Modeling,,1934-2659
Chemical Record,1527-8999,1528-0691
Chemical Research in Toxicology,0893-228X,1520-5010
Chemical Reviews,0009-2665,1520-6890
Chemical Senses,0379-864X,1464-3553
Chemical Society Reviews,0306-0012,1460-4744
Chemical Vapor Deposition,0948-1907,1521-3862
Chemico-Biological Interactions,0009-2797,
Chemie der Erde / Geochemistry,0009-2819,
Chemie in Unserer Zeit,0009-2851,1521-3781
Chemie Ingenieur Technik,0009-286X,1522-2640
ChemInform,0931-7597,1522-2667
Chemische Berichte,0009-2940,1099-0682
Chemistry - A European Journal,0947-6539,1521-3765
Chemistry & Biodiversity,1612-1872,1612-1880
Chemistry & Biology,1074-5521,
Chemistry and Ecology,0275-7540,1029-0370
Chemistry and Physics of Lipids,0009-3084,
Chemistry and Technology of Fuels and Oils,0009-3092,1573-8310
Chemistry Central Journal,,1752-153X
Chemistry of Heterocyclic Compounds,0009-3122,1573-8353
Chemistry of Materials,0897-4756,1520-5002
Chemistry of Natural Compounds,0009-3130,1573-8388
Chemistry World,1473-7604,1749-5318
Chemistry: An Asian Journal,1861-4728,1861-471X
ChemKon,0944-5846,1521-3730
ChemMedChem,1860-7179,1860-7187
Chemoecology,0937-7409,1423-0445
Chemometrics and Intelligent Laboratory Systems,0169-7439,
Chemometrics and Intelligent Laboratory Systems: Laboratory Information Management,0925-5281,
Chemosensory Perception,1936-5802,1936-5810
Chemosphere,0045-6535,
Chemosphere - Global Change Science,1465-9972,
Chemotherapy,0009-3157,1421-9794
Chemotherapy Research and Practice,2090-2107,2090-2115
ChemPhysChem,1439-4235,1439-7641
ChemSusChem,1864-5631,1864-564X
Chiasmi International,1637-6757,2155-6415
Child & Family Behavior Therapy,0731-7107,1545-228X
Child & Family Behavior Therapy,0731-7107,1545-228X
Child & Family Social Work,1356-7500,1365-2206
Child & Youth Services,0145-935X,1545-2298
Child & Youth Services,0145-935X,1545-2298
Child Abuse & Neglect,0145-2134,
Child Abuse Review,0952-9136,1099-0852
Child and Adolescent Mental Health,1475-357X,1475-3588
Child and Adolescent Psychiatry and Mental Health,,1753-2000
Child and Adolescent Psychopharmacology News,1085-0295,1943-2739
Child and Adolescent Social Work Journal,0738-0151,1573-2797
Child and Youth Care Forum,1053-1890,1573-3319
Child Behavior Therapy,0162-1416,
Child Care in Practice,1357-5279,1476-489X
Child Development,0009-3920,1467-8624
Child Development Perspectives,1750-8592,1750-8606
Child Development Research,2090-3987,2090-3995
Child Indicators Research,1874-897X,1874-8988
Child Language Teaching & Therapy,0265-6590,1477-0865
Child Maltreatment,1077-5595,1552-6119
Child Neuropsychology,0929-7049,1744-4136
Child Psychiatry and Human Development,0009-398X,1573-3327
"Child: Care, Health and Development",0305-1862,1365-2214
Child's Nervous System,0256-7040,1433-0350
Childhood,0907-5682,1461-7013
Childhood Education,0009-4056,2162-0725
Childhood in the Past: An International Journal,1758-5716,2040-8528
Childhood Obesity,2153-2168,2153-2176
Children & Society,0951-0605,1099-0860
Children and Youth Services Review,0190-7409,
"Children, Youth and Environments",,1546-2250
Children's Geographies,1473-3285,1473-3277
Children's Health Care,0273-9615,1532-6888
Children's Literature Association Quarterly,0885-0429,1553-1201
Children's Literature in Education,0045-6713,1573-1693
Children's Services,1093-9644,1532-6918
Childrens Literature,0092-8208,1543-3374
"Chilean Computer Science Society (SCCC), Proceedings of the International Conference of the",1522-4902,
China & World Economy,1671-2234,1749-124X
China Agricultural Economic Review,1756-137X,
China Economic Journal,1753-8963,1753-8971
China Economic Policy Review,1793-9690,1793-9740
China Economic Review,1043-951X,
China EU Law Journal,1868-5153,1868-5161
China Information,0920-203X,1741-590X
China Journal of Social Work,1752-5098,1752-5101
China Law Review,1745-7238,1750-6611
China Ocean Engineering,0890-5487,2191-8945
"China Population, Resources and Environment",1872-583X,
China Report,0009-4455,
China Tourism Research,1812-688X,
China: An International Journal,0219-7472,0219-8614
"Chinese Annals of Mathematics, Series B",0252-9599,1860-6261
Chinese Astronomy,0146-6364,
Chinese Astronomy and Astrophysics,0275-1062,
Chinese Chemical Letters,1001-8417,
Chinese Education and Society,1061-1932,1944-7116
Chinese Geographical Science,1002-0063,1993-064X
Chinese Journal of Aeronautics,1000-9361,
Chinese Journal of Agricultural Biotechnology,1479-2362,1479-2370
Chinese Journal of Analytical Chemistry,0253-3820,1872-2040
Chinese Journal of Astronomy and Astrophysics,1009-9271,
Chinese Journal of Cancer Research,1000-9604,1993-0631
Chinese Journal of Catalysis,1872-2067,
Chinese Journal of Chemical Physics,1674-0068,
Chinese Journal of Chemical Physics,1003-7713,
Chinese Journal of Chemistry,1001-604X,1614-7065
Chinese Journal of Communication,1754-4750,1754-4769
Chinese Journal of Geochemistry,1000-9426,1993-0364
Chinese Journal of Integrative Medicine,1672-0415,1993-0402
Chinese Journal of International Law,1540-1650,1746-9937
Chinese Journal of Natural Medicines,1875-5364,
Chinese Journal of Oceanology and Limnology,0254-4059,1993-5005
Chinese Journal of Polymer Science,0256-7679,1439-6203
Chinese Journal of Traumatology,1008-1275,
Chinese Language and Discourse,1877-7031,1877-8798
Chinese Law and Government,0009-4609,1944-7051
Chinese Management Studies,1750-614X,
Chinese Medical Sciences,0258-8757,
Chinese Medicine,,1749-8546
Chinese Physics C,1674-1137,
Chinese Physics Letters,0256-307X,1741-3540
Chinese Science Bulletin,1001-6538,1861-9541
Chinese Sociology and Anthropology,0009-4625,1558-1004
Chinese Studies in History,0009-4633,1558-0407
CHINOPERL - Journal of Chinese Oral and Performing Literature,0193-7774,2051-6150
Chirality,0899-0042,1520-636X
Chiropractic & Manual Therapies,,2045-709X
Chiropractic & Osteopathy,,1746-1340
Chirurgie,0001-4001,
Chirurgie de la Main,1297-3203,
Chirurgische Gastroenterologie,0177-9990,1421-9808
Cholesterol,2090-1283,2090-1291
Chôra,1583-8617,2162-6529
Christian Bioethics,1380-3606,1744-4195
Christian Bioethics,1380-3603,1744-4195
Christian Higher Education,1536-3759,1539-4107
Chromatikon: Annales de la philosophie en procès / Yearbook of Philosophy in Process,2034-4651,2166-0689
Chromatographic Reviews,0009-5907,
Chromatography Research International,2090-3502,2090-3510
Chromosoma,0009-5915,1432-0886
Chromosome Research,0967-3849,1573-6849
Chronic Illness,1742-3953,1745-9206
Chronic Respiratory Disease,1479-9723,1479-9731
Chronicles of Young Scientists,2229-5186,0975-9212
Chronique dEgypte,0009-6067,
Chronobiology International (Informa),0742-0528,1525-6073
Chronobiology International (T&F),0742-0528,1525-6073
Church History and Religious Culture,1871-241X,1871-2428
Cilia,,2046-2530
CIN - Computers Informatics Nursing,1538-2931,
CIN Plus,1098-7126,1538-9790
Circuit World,0305-6120,1758-602X
"Circuits and Systems (MWSCAS), Proceedings of the IEEE International Midwest Symposium on",1548-3746,1558-3899
"Circuits, Systems and Signal Processing",0278-081X,1531-5878
Circulation,0009-7322,1524-4539
Circulation Research,0009-7330,1524-4571
Circulation: Arrhythmia and Electrophysiology,1941-3149,1941-3084
Circulation: Cardiovascular Genetics,1942-325X,
Circulation: Cardiovascular Imaging,1941-9651,
Circulation: Cardiovascular Interventions,1941-7640,
Circulation: Cardiovascular Quality & Outcomes,1941-7713,1941-7705
Circulation: Heart Failure,1941-3289,
CIT plus,1436-2597,
Cities,0264-2751,
Citizenship Studies,1362-1025,1469-3593
"Citizenship, Social and Economics Education",1478-8047,2047-1734
City & Community,1535-6841,1540-6040
City & Society (AAA),0893-0465,1548-744X
City & Society (Wiley),0893-0465,1548-744X
City: Analysis of Urban Trends,1360-4813,1470-3629
Civil Engineering & Environmental Science,1028-6608,1029-0249
Civil Engineering Innovation,1755-0890,1755-0904
Civil Wars,1369-8249,1743-968X
Cladistics (Elsevier),0748-3007,
Cladistics (Wiley),0748-3007,1096-0031
Classical and Quantum Gravity,0264-9381,1361-6382
Classical Antiquity,0278-6656,1067-8344
Classical Journal,0009-8353,
Classical Philology,0009-837X,1546-072X
Classical Receptions Journal,1759-5134,1759-5142
Classroom Discourse,1946-3014,1946-3022
"CLEAN - Soil, Air, Water",1863-0650,1863-0669
Clean Technologies and Environmental Policy,1618-954X,1618-9558
Climacteric (Informa),1369-7137,1473-0804
Climacteric (T&F),1369-7137,1473-0804
Climate and Development,1756-5529,1756-5537
Climate Change Economics,2010-0078,2010-0086
Climate Dynamics,0930-7575,1432-0894
Climate of the Past,1814-9324,1814-9332
Climate of the Past Discussions,1814-9340,1814-9359
Climate Policy,1469-3062,
Climate Policy,1469-3062,1752-7457
Climatic Change,0165-0009,1573-1480
Clin-Alert,0069-4770,1530-812X
Clinica Chimica Acta,0009-8981,
Clinical & Developmental Immunology (Hindawi),1740-2522,1740-2530
Clinical & Developmental Immunology (Informa),1740-2522,
Clinical & Developmental Immunology (T&F),1740-2522,1740-2530
Clinical & Experimental Allergy,0954-7894,1365-2222
Clinical & Experimental Immunology,0009-9104,1365-2249
Clinical & Experimental Metastasis,0262-0898,1573-7276
Clinical & Experimental Ophthalmology,1442-6404,1442-9071
Clinical Acupuncture and Oriental Medicine,1461-1449,
Clinical Anatomy,0897-3806,1098-2353
Clinical and Applied Immunology Reviews,1529-1049,
Clinical and Applied Thrombosis/Hemostasis,1076-0296,
Clinical and Diagnostic Virology,0928-0197,
Clinical and Experimental Dermatology,0307-6938,1365-2230
Clinical and Experimental Hypertension (Informa),1064-1963,1525-6006
Clinical and Experimental Hypertension (T&F),1064-1963,1525-6006
Clinical and Experimental Medical Journal,2060-6249,2060-968X
Clinical and Experimental Medicine,1591-8890,1591-9528
Clinical and Experimental Neuroimmunology,1759-1961,1759-1961
Clinical and Experimental Optometry,0816-4622,1444-0938
Clinical and Experimental Pharmacology and Physiology,0305-1870,1440-1681
Clinical and Molecular Allergy,,1476-7961
Clinical and Translational Allergy,,2045-7022
Clinical and Translational Science,1752-8054,1752-8062
Clinical Biochemistry,0009-9120,
Clinical Biomechanics,0268-0033,
Clinical Bulletin of Myofascial Therapy,1089-4195,
Clinical Cardiology,0160-9289,1932-8737
Clinical Case Studies,1534-6501,1552-3802
Clinical Chemistry and Laboratory Medicine,1434-6621,1437-4331
Clinical Child and Family Psychology Review,1096-4037,1573-2827
Clinical Child Psychology and Psychiatry,1359-1045,1461-7021
Clinical Chiropractic,1479-2354,
Clinical Cornerstone,1098-3597,
Clinical Dysmorphology,0962-8827,
Clinical Effectiveness in Nursing,1361-9004,
Clinical Endocrinology,0300-0664,1365-2265
Clinical Epigenetics,1868-7075,1868-7083
Clinical Ethics,1477-7509,1758-101X
Clinical Eye and Vision Care,0953-4431,
Clinical Gastroenterology and Hepatology,1542-3565,
Clinical Genetics,0009-9163,1399-0004
Clinical Gerontologist,0731-7115,1545-2301
Clinical Gerontologist,0731-7115,1545-2301
Clinical Governance: An International Journal,1477-7274,
Clinical Imaging,0899-7071,
Clinical Immunology,1521-6616,
Clinical Immunology and Immunopathology,0090-1229,
Clinical Immunology Newsletter,0197-1859,
Clinical Implant Dentistry and Related Research,1523-0899,1708-8208
Clinical Infectious Diseases,1058-4838,1537-6591
Clinical Intensive Care (Informa),0956-3075,1473-7752
Clinical Intensive Care (T&F),0956-3075,1473-7752
Clinical Journal of Pain,0749-8047,1536-5409
Clinical Journal of Sport Medicine,1050-642X,
Clinical Linguistics & Phonetics (Informa),0269-9206,1464-5076
Clinical Linguistics & Phonetics (T&F),0269-9206,1464-5076
Clinical Materials,0267-6605,
Clinical Microbiology and Infection,1198-743X,1469-0691
Clinical Microbiology Newsletter,0196-4399,
Clinical Neurology and Neurosurgery,0303-8467,
Clinical Neuropharmacology,0362-5664,
Clinical Neurophysiology,1388-2457,
Clinical Neuropsychologist,1385-4046,1744-4144
Clinical Neuroscience Research,1566-2772,
Clinical Nuclear Medicine,0363-9762,
Clinical Nurse Specialist,0887-6274,1538-9782
Clinical Nursing Research,1054-7738,1552-3799
Clinical Nutrition,0261-5614,
Clinical Nutrition Insight,1938-8640,
Clinical Nutrition Supplements,1744-1161,
Clinical Obstetrics and Gynecology,0009-9201,
Clinical Oncology,0936-6555,
Clinical Oncology and Cancer Research,1674-5361,1868-324X
Clinical Oral Implants Research,0905-7161,1600-0501
Clinical Oral Invstigations,1432-6981,1436-3771
Clinical Orthopaedics,0095-8654,
Clinical Orthopaedics and Related  Research,0009-921X,1528-1132
Clinical Otolaryngology,1749-4478,1749-4486
